source_row,product_code,product_name,brand,category_name,unit,mrp,selling_price,cost_price,margin_percentage,stock_quantity,source_hsn_code,source_gst_percent,source_alias_name,source_generic_name,source_sub_category,source_created_date
470,LEGACY-XLS-71684,JOINT REPAIR TAB 60S-SWISSE,SWISSE WELLNESS PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,2399.00,2399.00,2033.05,15.25,0.00,21069099,5.00,JOINT REPAIR TAB 60S-SWISSE,,SWISSE(TAG),03/11/2025
471,LEGACY-XLS-71685,ODOURLESS 4 X STRENGTH WILD FISH OIL CONCENTRATE CAP 60S-SWISSE,VITEX PHARMACEUTICALS PTY LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,2699.00,2699.00,2409.82,10.71,0.00,21069099,5.00,ODOURLESS 4 X STRENGTH WILD FISH OIL CONCENTRATE CAP 60S-SWISSE,,SWISSE(TAG),03/11/2025
472,LEGACY-XLS-71841,SLOW HAIR SKIN NAILS 60S-WELLBEING,NUTRITIONALAB PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,1499.00,1499.00,866.05,42.22,1.00,21069099,5.00,SLOW HAIR SKIN NAILS 60S-WELLBEING,,WELLBEING(TAG),07/11/2025
473,LEGACY-XLS-71924,NEBULIZER-DR ORG,DR ORG HEALTHCARE PVT LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,1880.00,1880.00,908.70,51.66,0.00,90192090,5.00,NEBULIZER-DR ORG,,OTX,11/11/2025
474,LEGACY-XLS-71949,NATXTRA COQ STREE CAP,SYNTHIT INDUSTRIES PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,711.00,711.00,406.27,42.86,0.00,21069099,5.00,NATXTRA COQ STREE CAP,,NATXTRA(TAG),11/11/2025
475,LEGACY-XLS-71955,VIDAVANCE VANILLA 400GM PWD,MODI MUNDI PHARMA PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,933.00,933.00,746.40,20.00,0.00,21069091,5.00,VIDAVANCE VANILLA 400GM PWD,,OTX,12/11/2025
476,LEGACY-XLS-71972,NATXTRA GREEN TEA CAP,SYNTHIT INDUSTRIES PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,266.00,266.00,152.03,42.85,0.00,233042000,5.00,NATXTRA GREEN TEA CAP,,NATXTRA(TAG),12/11/2025
477,LEGACY-XLS-71979,NEBULIZER ULTRA -ACCUSURE,,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,1969.00,1969.00,790.48,59.85,0.00,90191010,5.00,NEBULIZER ULTRA -ACCUSURE,,ACCUSURE(TAG),12/11/2025
478,LEGACY-XLS-71980,NEBULIZER ULTRA PLUS -ACCUSURE,MACFOLIA PHARMACEUTICALS,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,1969.00,1969.00,790.48,59.85,0.00,90191090,5.00,NEBULIZER ULTRA PLUS -ACCUSURE,,ACCUSURE(TAG),12/11/2025
479,LEGACY-XLS-72069,MULTIVITAMIN + MEN TAB 30S-HK VITALS,BRIGHT LIFECARE PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,359.00,359.00,195.51,45.54,0.00,21069099,5.00,MULTIVITAMIN + MEN TAB 30S-HK VITALS,,HK VITALS(TAG),17/11/2025
480,LEGACY-XLS-72070,FISH OIL CAP 60S-HK VITALS,BRIGHT LIFECARE PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,359.00,359.00,167.53,53.33,0.00,21069099,5.00,FISH OIL CAP 60S-HK VITALS,,HK VITALS(TAG),17/11/2025
481,LEGACY-XLS-72071,MAGNESIUM GLYCINATE MEN TAB 120S-HK VITALS,BRIGHT LIFECARE PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,759.00,759.00,416.01,45.19,0.00,21069099,5.00,MAGNESIUM GLYCINATE MEN TAB 120S-HK VITALS,,HK VITALS(TAG),17/11/2025
482,LEGACY-XLS-72073,NATXTRA PLATELET ACTIVE+ CAP-NATXTRA,SYNTHIT INDUSTRIES PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,622.00,622.00,355.43,42.86,0.00,21069099,5.00,NATXTRA PLATELET ACTIVE+ CAP-NATXTRA,,NATXTRA(TAG),17/11/2025
483,LEGACY-XLS-72139,I KNOW PREGNANCY TEST KIT,PIRAMAL ENTERPRISES LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,56.25,56.25,42.86,23.80,5.00,38220011,5.00,I KNOW PREGNANCY TEST KIT,,PIRAMAL(TAG),20/11/2025
484,LEGACY-XLS-72251,OMEGA 3 ALASKAN FISH OIL CAP 60S-ONE SCIENCE,SCITEC LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,1499.00,1499.00,761.90,49.17,0.00,21069099,5.00,OMEGA 3 ALASKAN FISH OIL CAP 60S-ONE SCIENCE,,ONE SCIENCE(TAG),24/11/2025
485,LEGACY-XLS-72307,HORLICKS JAR 500KGM PWD,HINDUSTAN UNILEVER LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,264.00,264.00,232.81,11.81,0.00,19019010,5.00,HORLICKS JAR 500KGM PWD,,HORLICKS(TAG),26/11/2025
486,LEGACY-XLS-72437,SD LIPIDOCARE ANALIZER,SD BIOSENSORHEALTHCARE PVT LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,20000.00,20000.00,15500.00,22.50,0.00,30049099,5.00,SD LIPIDOCARE ANALIZER,,OTX,04/12/2025
487,LEGACY-XLS-72438,SD LIPIDOCARE LIPID PROFILE TEST STRIP,SD BIOSENSOR HEALTHCARE PVT LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,500.00,500.00,200.00,60.00,0.00,,5.00,SD LIPIDOCARE LIPID PROFILE TEST STRIP,,OTX,04/12/2025
488,LEGACY-XLS-72549,CLINICAL STRENGTH DEEP SEA KRILL OIL CAP 30S-SWISSE,H&H PHARMACEUTICALS,VITAMINS & SUPPLEMENTS-HW,1 pack,2499.00,2499.00,2231.25,10.71,0.00,21069099,5.00,CLINICAL STRENGTH DEEP SEA KRILL OIL CAP 30S-SWISSE,OMEGA 3 FATTY ACID,SWISSE(TAG),10/12/2025
489,LEGACY-XLS-72551,COLLAGEN PLATINUM 50ML-SWISSE,,VITAMINS & SUPPLEMENTS-HW,8 pack,3299.00,3299.00,3141.90,4.76,0.00,21069099,5.00,COLLAGEN PLATINUM 50ML-SWISSE,,SWISSE(TAG),10/12/2025
