source_row,product_code,product_name,brand,category_name,unit,mrp,selling_price,cost_price,margin_percentage,stock_quantity,source_hsn_code,source_gst_percent,source_alias_name,source_generic_name,source_sub_category,source_created_date
533,LEGACY-XLS-74901,BLOOD GLUCOSE TEST STRIPS 25S-ACCUSURE SIMPLE,MICROGENE DIAGNOSTIC SYSTEMS (P) LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,558.00,558.00,540.00,3.23,0.00,30049074,5.00,BLOOD GLUCOSE TEST STRIPS 25S-ACCUSURE SIMPLE,,ACCUSURE(TAG),09/06/2026
534,LEGACY-XLS-74912,MAXVIDA HP VANILLA 400GM PWD,MODI MUNDI PHARMA PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,1364.00,1364.00,1091.20,20.00,0.00,21061000,5.00,MAXVIDA HP VANILLA 400GM PWD,,OTX,10/06/2026
535,LEGACY-XLS-74922,PREGA NETA ADVANCE KIT,ANETA PHAMACEUTICALS PVT LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,57.10,57.10,7.50,86.87,0.00,38220019,5.00,PREGA NETA ADVANCE KIT,,PIRAMAL(TAG),11/06/2026
536,LEGACY-XLS-74957,AEROLIFE MINI INHANCER DEVICE,ZYDUS HEALTHCARE LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,599.00,599.00,456.38,23.81,1.00,30049087,5.00,AEROLIFE MINI INHANCER DEVICE,,BRAND-RX,15/06/2026
537,LEGACY-XLS-74976,LIVER DETOX TAB 60S-SWISSE,VENTURE HEALTHCARE PVT,VITAMINS & SUPPLEMENTS-HW,1 pack,1649.00,1649.00,1397.46,15.25,0.00,21069099,5.00,LIVER DETOX TAB 60S-SWISSE,,SWISSE(TAG),18/06/2026
538,LEGACY-XLS-74979,IRON TAB 30S-SWISSE,VENTURE HEALTHCARE PVT,VITAMINS & SUPPLEMENTS-HW,1 pack,949.00,949.00,804.24,15.25,0.00,21069099,5.00,IRON TAB 30S-SWISSE,,SWISSE(TAG),18/06/2026
539,LEGACY-XLS-75037,AUTOMATIC BLOOD PRESSURE MONITOR HEM 7090-OMRON,OMRON HEALTHCARE INDIA PVT LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,1990.00,1990.00,1333.33,33.00,0.00,90189011,5.00,AUTOMATIC BLOOD PRESSURE MONITOR HEM 7090-OMRON,,OMRON(TAG),23/06/2026
540,LEGACY-XLS-75110,BOOST 1KG PKT,HINDUSTAN UNILEVER LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,449.00,449.00,395.94,11.82,0.00,19019090,5.00,BOOST 1KG PKT,,BOOST(TAG),03/07/2026
541,LEGACY-XLS-75128,SODOX CAP,SUN PHARMACEUTICAL INDUSTRIES LTD,VITAMINS & SUPPLEMENTS-HW,15 pack,710.50,710.50,541.34,23.81,0.00,21069099,5.00,SODOX CAP,ANTIOXIDANT,BRAND-RX,04/07/2026
542,LEGACY-XLS-75285,FAST & UP GLUTAMINE 500GM PWD,FULLLIFE HEALTHCARE PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,0.00,0.00,0.00,0.00,0.00,21069099,5.00,FAST & UP GLUTAMINE 500GM PWD,,OTX,17/07/2026
543,LEGACY-XLS-75287,KARKIDAKA KANJI KIT 665GM,,VITAMINS & SUPPLEMENTS-HW,1 pack,270.00,270.00,206.55,23.50,0.00,30049011,5.00,KARKIDAKA KANJI KIT 665GM,,ASHTAVAIDYA(TAG),17/07/2026
544,LEGACY-XLS-75291,PROTINEX MOTHERS VANILLA 200GM PWD,NUTRICIA INTERNATIONAL PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,440.00,440.00,0.00,100.00,0.00,21069099,5.00,PROTINEX MOTHERS VANILLA 200GM PWD,,OTC,17/07/2026
545,LEGACY-XLS-75306,PEARL SPACER,PRISTINE PEARL PHARMA PVT LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,440.00,440.00,335.24,23.81,0.00,90192090,5.00,PEARL SPACER,,OTX,18/07/2026
546,LEGACY-XLS-75316,NATXTRA VITAMIN D CAP,SYNTHIT INDUSTRIES PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,699.00,699.00,329.53,52.86,1.00,21069099,5.00,NATXTRA VITAMIN D CAP,,NATXTRA(TAG),20/07/2026
547,LEGACY-XLS-75318,NATXTRA BLOAT PRO-AMLA CAP,SYNTHIT INDUSTRIES PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,640.00,640.00,234.48,63.36,0.00,21069099,5.00,NATXTRA BLOAT PRO-AMLA CAP,,NATXTRA(TAG),20/07/2026
548,LEGACY-XLS-75364,MULMIN PLUS TAB,JUGGAT PHARMA,VITAMINS & SUPPLEMENTS-HW,10 pack,284.74,284.74,216.95,23.81,0.00,21069099,5.00,MULMIN PLUS TAB,MULTIVITAMINS-MULTIMINERALS,BRAND-RX,24/07/2026
